,LR_multiclass,KNN_multiclass,SVM_multiclass,LDA_multiclass,Ensemble_multiclass,Ensemble2_multiclass,LR_binary,KNN_binary,SVM_binary,LDA_binary,Ensemble_binary,Ensemble2_binary
Mean,0.5459999999999999,0.5059999999999999,0.5514999999999999,0.4304999999999999,0.5455,0.5455,0.478,0.45649999999999996,0.5315000000000001,0.5010000000000001,0.49099999999999994,0.486
STD,0.09504735661763561,0.09779570542718122,0.10379185902564807,0.08743426101935099,0.09723553877055445,0.09697809030910022,0.10916043239196152,0.10527464082104483,0.1066899714124997,0.09082400563727631,0.085258430668175,0.10101485039339514
Max,0.75,0.8,0.85,0.65,0.75,0.75,0.7,0.75,0.8,0.7,0.65,0.7
Min,0.3,0.25,0.3,0.25,0.3,0.3,0.25,0.2,0.3,0.3,0.3,0.25
